Number of Nodes,Number of edges,Time(seconds)
5,7,0.000121
6,9,0.000119
5,12,0.000737
10,50,0.000662
20,50,0.00022
20,100,0.00065
40,100,0.00028
50,150,0.00041
50,250,0.000666
50,500,0.005523
50,750,0.020507
50,1000,0.021986
100,500,0.010732
100,1000,0.010194
100,2000,0.14649
100,3000,0.105833
100,4000,0.192698
250,500,0.000998
250,1000,0.01853
250,5000,0.566713
250,10000,1.70653
250,25000,6.44955
500,1000,0.00466
500,2500,0.154434
500,5000,1.14023
500,10000,3.68875
500,25000,15.9746
500,50000,16.7422
500,100000,59.4595
1000,2000,0.020669
1000,5000,0.722431
1000,10000,4.28326
1000,25000,28.2006
1000,50000,53.4367
1000,75000,224.937
1000,100000,324.826
2000,5000,0.043689
2000,10000,0.672215
2000,25000,55.2826
2000,50000,194.156
2000,100000,332.606
3000,5000,0.031117
3000,10000,0.996907
3000,25000,123.667
3000,50000,267.947
5000,10000,0.187918
5000,25000,65.232
5000,50000,471.274
7500,15000,0.409605
7500,25000,13.1984